treated,nondiscrim_law_t3,therm_trans_t2,therm_obama_t1,gender_norm_moral_t1,nondiscrim_law_t0,therm_trans_t0,therm_obama_t0,gender_norm_moral_t0,ideology_t0,religious_t0,exposure_trans_t0,pid_t0,vf_democrat,vf_female,vf_hispanic,vf_black,vf_age,nondiscrim_law_diff
0,-1,NA,50,-0,0,1,50,-0,0,1,0,3,1,0,0,1,51,-1
0,1,1,50,-0,1.5,1,95,-0,0,3,1,3,1,1,0,1,21,-0.5
0,-0.5,NA,NA,NA,-3,0,100,-2,0,0,0,3,1,1,0,1,32,2.5
1,3,2,79,2,3,2,87,2,2,1,1,3,1,1,1,0,32,0
1,2,1,100,-0,2.5,0,100,-1,1,4,0,3,1,1,0,1,61,-0.5
0,2,1,98,-0,2,1,100,-0,-1,3,0,2,1,1,0,1,59,0
0,3,2,100,2,3,2,100,2,3,0,1,2,1,1,1,0,22,0
0,2,2,NA,NA,2.5,2,85,-0,1,1,0,1,0,0,0,1,24,-0.5
0,3,2,100,-0,2,2,100,-1,2,4,0,1,0,1,1,0,31,1
1,1.5,2,100,-2,2.5,1,100,-2,2,4,0,3,1,1,0,1,42,-1
0,3,2,50,-0,2,1,50,-0,0,2,0,3,1,0,1,0,37,1
0,0,1,40,2,-1.5,0,19,-2,0,5,1,0,0,0,1,0,67,1.5
1,1,1,84,-0,2,2,100,-0,0,2,1,1,1,0,0,1,60,-1
1,3,2,100,2,3,2,100,2,1,0,0,1,1,1,1,0,55,0
1,2.5,0,NA,NA,2.5,2,56,-1,2,5,1,-3,0,0,1,0,25,0
1,NA,NA,NA,NA,1.5,1,100,1,0,4,1,2,1,1,0,1,20,NA
0,NA,NA,50,-1,3,1,91,-0,3,5,1,0,1,1,0,1,22,NA
0,2.5,1,50,-0,2,0,100,-2,-1,4,0,3,0,0,0,1,73,0.5
0,3,1,50,-2,0,1,50,-1,-2,4,0,-3,0,0,0,0,51,3
1,0,0,76,-2,-2,0,90,-2,0,1,0,3,1,1,1,0,40,2
1,1.5,1,83,-0,0.5,1,50,-2,0,1,0,2,1,0,1,0,50,1
0,0,2,22,-0,1.5,1,28,-0,-2,4,0,-2,0,1,0,0,66,-1.5
0,0,0,7,-0,-3,0,11,-0,-2,0,0,-1,0,0,0,0,54,3
0,0.5,2,3,-0,1,1,0,1,-1,1,0,-2,0,0,0,0,68,-0.5
1,0,1,50,-0,0,1,50,-0,0,1,1,0,0,0,1,0,29,0
0,NA,NA,NA,NA,2.5,1,97,-0,1,1,0,3,1,0,0,0,21,NA
